Total population,year,population
Japan,1969,102323674.0
Jersey,1969,68539.0
Jordan,1969,1553585.0
Kazakhstan,1969,12897025.0
Kenya,1969,10867717.0
Kiribati,1969,50303.0
North Korea,1969,14009168.0
South Korea,1969,30811523.0
United Korea (former),1969,45004611.0
Kosovo,1969,1448399.0
Kuwait,1969,693876.0
Kyrgyz Republic,1969,2890720.0
Lao,1969,2618246.0
Latvia,1969,2346012.0
Lebanon,1969,2250609.0
Lesotho,1969,1011308.0
Liberia,1969,1383305.0
Libya,1969,2025282.0
Liechtenstein,1969,20765.0
Lithuania,1969,3104292.0
Luxembourg,1969,337565.0
"Macao, China",1969,245310.0
"Macedonia, FYR",1969,1698140.0
Madagascar,1969,6400454.0
Malawi,1969,4484456.0
Malaysia,1969,10640347.0
Maldives,1969,112591.0
Mali,1969,5861411.0
Malta,1969,304401.0
Marshall Islands,1969,19622.0
Martinique,1969,323323.0
Mauritania,1969,1115790.0
Mauritius,1969,812944.0
Mayotte,1969,35553.0
Mexico,1969,50423127.0
"Micronesia, Fed. Sts.",1969,60167.0
Moldova,1969,3544635.0
Monaco,1969,23348.0
Mongolia,1969,1242213.0
Montenegro,1969,520644.0
Montserrat,1969,11650.0
Morocco,1969,15687996.0
Mozambique,1969,9058691.0
Myanmar,1969,26504247.0
Namibia,1969,758305.0
Nauru,1969,6368.0
Nepal,1969,11750914.0
Netherlands,1969,12821786.0
Netherlands Antilles,1969,156893.0
New Caledonia,1969,101494.0
New Zealand,1969,2775684.0
Ngorno-Karabakh,1969,
Nicaragua,1969,2326136.0
Niger,1969,4375837.0
Nigeria,1969,54859201.0
Niue,1969,5218.0
Norfolk Island,1969,1785.0
Northern Cyprus,1969,
Northern Mariana Islands,1969,12766.0
Norway,1969,3845932.0
Oman,1969,700729.0
Pakistan,1969,56545924.0
Palau,1969,11335.0
Panama,1969,1476478.0
Papua New Guinea,1969,2371515.0
Paraguay,1969,2412565.0
Peru,1969,12982444.0
Philippines,1969,34787588.0
Pitcairn,1969,92.0
Poland,1969,32571673.0
Portugal,1969,8669641.0
Puerto Rico,1969,2680190.0
Qatar,1969,100697.0
Reunion,1969,450741.0
Romania,1969,20305391.0
Russia,1969,129475269.0
Rwanda,1969,3640591.0
St. Barthélemy,1969,2390.0
St. Helena,1969,4820.0
St. Kitts and Nevis,1969,45534.0
St. Lucia,1969,102747.0
St. Martin,1969,20657.0
St. Vincent and the Grenadines,1969,89518.0
St.-Pierre-et-Miquelon,1969,5372.0
Samoa,1969,140520.0
San Marino,1969,18895.0
Sao Tome and Principe,1969,72240.0
Saudi Arabia,1969,5601649.0
Senegal,1969,4093763.0
Serbia,1969,8056663.0
Serbia and Montenegro,1969,8613622.0
Serbia excluding Kosovo,1969,6846608.0
Seychelles,1969,51124.0
Sierra Leone,1969,2473165.0
Singapore,1969,2036270.0
Slovak Republic,1969,4499554.0
Slovenia,1969,1659553.0
Solomon Islands,1969,154876.0
Somalia,1969,3385414.0
Somaliland,1969,
South Africa,1969,21926165.0
South Ossetia,1969,
Spain,1969,33558627.0
Sri Lanka,1969,12217248.0
Sudan,1969,9909152.0
Suriname,1969,366845.0
Svalbard,1969,2213.0
Swaziland,1969,433709.0
Sweden,1969,7997380.0
Switzerland,1969,6114719.0
Syria,1969,6166933.0
Taiwan,1969,14280667.0
Tajikistan,1969,2829641.0
Tanzania,1969,13186560.0
Thailand,1969,35826803.0
Timor-Leste,1969,589519.0
Togo,1969,2034909.0
Tokelau,1969,1670.0
Tonga,1969,82879.0
Transnistria,1969,
Trinidad and Tobago,1969,937846.0
Tunisia,1969,4950153.0
Turkey,1969,33969201.0
Turkmenistan,1969,2126749.0
Turks and Caicos Islands,1969,5573.0
Tuvalu,1969,7213.0
Uganda,1969,9162773.0
Ukraine,1969,46746668.0
United Arab Emirates,1969,205570.0
United Kingdom,1969,55406435.0
United States,1969,207599308.0
Uruguay,1969,2795044.0
USSR,1969,240238082.0
Uzbekistan,1969,11599763.0
Wallis et Futuna,1969,8920.0
Vanuatu,1969,82941.0
Venezuela,1969,11235492.0
West Bank and Gaza,1969,1124929.0
West Germany,1969,59702499.0
Western Sahara,1969,74336.0
Vietnam,1969,42309662.0
Virgin Islands (U.S.),1969,60675.0
North Yemen (former),1969,4847263.0
South Yemen (former),1969,1500796.0
Yemen,1969,6047230.0
Yugoslavia,1969,19698958.0
Zambia,1969,4047479.0
Zimbabwe,1969,5036321.0
Åland,1969,20697.0
South Sudan,1969,3564079.0
Curaçao,1969,141714.0
Sint Maarten (Dutch part),1969,6355.0
St. Martin (French part),1969,
Antarctica,1969,
Bouvet Island,1969,
British Indian Ocean Territory,1969,
Clipperton,1969,
French Southern and Antarctic Lands,1969,
Gaza Strip,1969,
Heard and McDonald Islands,1969,
Northern Marianas,1969,
South Georgia and the South Sandwich Islands,1969,
US Minor Outlying Islands,1969,
Virgin Islands,1969,
West Bank,1969,
Abkhazia,1970,
Afghanistan,1970,11121097.0
Akrotiri and Dhekelia,1970,12273.0
Albania,1970,2150602.0
Algeria,1970,14550033.0
American Samoa,1970,27292.0
Andorra,1970,24279.0
Angola,1970,6300969.0
Anguilla,1970,6400.0
Antigua and Barbuda,1970,65369.0
Argentina,1970,23973062.0
Armenia,1970,2518408.0
Aruba,1970,59065.0
Australia,1970,12904760.0
Austria,1970,7509746.0
Azerbaijan,1970,5178160.0
Bahamas,1970,169356.0
Bahrain,1970,213102.0
Bangladesh,1970,65048701.0
Barbados,1970,238847.0
Belarus,1970,9039436.0
Belgium,1970,9664320.0
Belize,1970,122179.0
Benin,1970,2907769.0
Bermuda,1970,52286.0
Bhutan,1970,291457.0
Bolivia,1970,4505774.0
Bosnia and Herzegovina,1970,3745637.0
Botswana,1970,693021.0
Brazil,1970,95982453.0
British Virgin Islands,1970,9802.0
Brunei,1970,129729.0
Bulgaria,1970,8494765.0
Burkina Faso,1970,5624597.0
Burundi,1970,3457113.0
Cambodia,1970,7022185.0
Cameroon,1970,6770967.0
Canada,1970,21439200.0
Cape Verde,1970,270197.0
Cayman Islands,1970,9144.0
Central African Republic,1970,1828710.0
Chad,1970,3644911.0
Channel Islands,1970,121196.0
Chile,1970,9561868.0
China,1970,808510713.0
Christmas Island,1970,1072.0
Cocos Island,1970,424.0
Colombia,1970,22061214.0
Comoros,1970,228443.0
"Congo, Dem. Rep.",1970,20009902.0
"Congo, Rep.",1970,1335090.0
Cook Is,1970,21406.0
Costa Rica,1970,1848873.0
Cote d'Ivoire,1970,5241914.0
Croatia,1970,4423073.0
Cuba,1970,8715123.0
Cyprus,1970,613619.0
Czech Republic,1970,9811291.0
Czechoslovakia,1970,14328226.0
Denmark,1970,4930118.0
Djibouti,1970,159667.0
Dominica,1970,71076.0
Dominican Republic,1970,4503114.0
East Germany,1970,17078326.0
Ecuador,1970,6072520.0
Egypt,1970,34808599.0
El Salvador,1970,3668592.0
Equatorial Guinea,1970,290905.0
Eritrea,1970,1805480.0
Eritrea and Ethiopia,1970,31635451.0
Estonia,1970,1360236.0
Ethiopia,1970,28414999.0
Faeroe Islands,1970,38587.0
Falkland Is (Malvinas),1970,1991.0
Fiji,1970,520529.0
Finland,1970,4606740.0
France,1970,50843830.0
French Guiana,1970,47929.0
French Polynesia,1970,110496.0
Gabon,1970,590119.0
Gambia,1970,447283.0
Georgia,1970,4707327.0
Germany,1970,78366605.0
Ghana,1970,8596977.0
Gibraltar,1970,24661.0
Greece,1970,8778676.0
Greenland,1970,46075.0
Grenada,1970,94430.0
Guadeloupe,1970,319329.0
Guam,1970,83880.0
Guatemala,1970,5423384.0
Guernsey,1970,53248.0
Guinea,1970,4215442.0
Guinea-Bissau,1970,711828.0
Guyana,1970,695561.0
Haiti,1970,4708639.0
Holy See,1970,648.0
Honduras,1970,2691309.0
"Hong Kong, China",1970,3958197.0
Hungary,1970,10345553.0
Iceland,1970,204392.0
India,1970,553943226.0
Indonesia,1970,114834781.0
Iran,1970,28514011.0
Iraq,1970,9917982.0
Ireland,1970,2947339.0
Isle of Man,1970,56712.0
Israel,1970,2849623.0
Italy,1970,53522670.0
Jamaica,1970,1873353.0
Japan,1970,103707537.0
Jersey,1970,69012.0
Jordan,1970,1654769.0
Kazakhstan,1970,13109992.0
Kenya,1970,11252466.0
Kiribati,1970,51181.0
North Korea,1970,14410400.0
South Korea,1970,31437141.0
United Korea (former),1970,46133084.0
Kosovo,1970,1460132.0
Kuwait,1970,750184.0
Kyrgyz Republic,1970,2964499.0
Lao,1970,2686025.0
Latvia,1970,2365753.0
Lebanon,1970,2297403.0
Lesotho,1970,1032240.0
Liberia,1970,1419728.0
Libya,1970,2114264.0
Liechtenstein,1970,21266.0
Lithuania,1970,3137373.0
Luxembourg,1970,339673.0
"Macao, China",1970,250997.0
"Macedonia, FYR",1970,1720798.0
Madagascar,1970,6576301.0
Malawi,1970,4603739.0
Malaysia,1970,10908634.0
Maldives,1970,115703.0
Mali,1970,5949043.0
Malta,1970,304414.0
Marshall Islands,1970,20397.0
Martinique,1970,325017.0
Mauritania,1970,1148908.0
Mauritius,1970,826447.0
Mayotte,1970,36965.0
Mexico,1970,52029859.0
"Micronesia, Fed. Sts.",1970,61433.0
Moldova,1970,3594516.0
Monaco,1970,23484.0
Mongolia,1970,1278825.0
Montenegro,1970,519697.0
Montserrat,1970,11629.0
Morocco,1970,16039600.0
Mozambique,1970,9262078.0
Myanmar,1970,27166045.0
Namibia,1970,780386.0
Nauru,1970,6493.0
Nepal,1970,11986974.0
Netherlands,1970,12964880.0
Netherlands Antilles,1970,159058.0
New Caledonia,1970,105025.0
New Zealand,1970,2819548.0
Ngorno-Karabakh,1970,
Nicaragua,1970,2398095.0
Niger,1970,4497355.0
Nigeria,1970,56131844.0
Niue,1970,5130.0
Norfolk Island,1970,1791.0
Northern Cyprus,1970,
Northern Mariana Islands,1970,13203.0
Norway,1970,3875719.0
Oman,1970,723850.0
Pakistan,1970,58094239.0
Palau,1970,11481.0
Panama,1970,1519293.0
Papua New Guinea,1970,2434755.0
Paraguay,1970,2474102.0
Peru,1970,13341071.0
Philippines,1970,35804731.0
Pitcairn,1970,89.0
Poland,1970,32816751.0
Portugal,1970,8670352.0
Puerto Rico,1970,2709813.0
Qatar,1970,109329.0
Reunion,1970,462025.0
Romania,1970,20549016.0
Russia,1970,130126383.0
Rwanda,1970,3754546.0
St. Barthélemy,1970,2410.0
St. Helena,1970,4885.0
St. Kitts and Nevis,1970,44882.0
St. Lucia,1970,104162.0
St. Martin,1970,20845.0
St. Vincent and the Grenadines,1970,90457.0
St.-Pierre-et-Miquelon,1970,5457.0
Samoa,1970,143175.0
San Marino,1970,19136.0
Sao Tome and Principe,1970,74251.0
Saudi Arabia,1970,5836394.0
Senegal,1970,4217754.0
Serbia,1970,8119861.0
Serbia and Montenegro,1970,8684061.0
Serbia excluding Kosovo,1970,6902068.0
Seychelles,1970,52364.0
Sierra Leone,1970,2514151.0
Singapore,1970,2074071.0
Slovak Republic,1970,4531874.0
Slovenia,1970,1669583.0
Solomon Islands,1970,160292.0
Somalia,1970,3445420.0
Somaliland,1970,
South Africa,1970,22502502.0
South Ossetia,1970,
Spain,1970,33923240.0
Sri Lanka,1970,12487493.0
Sudan,1970,10232758.0
Suriname,1970,371268.0
Svalbard,1970,2263.0
Swaziland,1970,445844.0
Sweden,1970,8049049.0
Switzerland,1970,6169357.0
Syria,1970,6378802.0
Taiwan,1970,14599333.0
Tajikistan,1970,2919586.0
Tanzania,1970,13605504.0
Thailand,1970,36884914.0
Timor-Leste,1970,602737.0
Togo,1970,2115521.0
Tokelau,1970,1618.0
Tonga,1970,84370.0
Transnistria,1970,
Trinidad and Tobago,1970,945996.0
Tunisia,1970,5060393.0
Turkey,1970,34772031.0
Turkmenistan,1970,2188499.0
Turks and Caicos Islands,1970,5632.0
Tuvalu,1970,7296.0
Uganda,1970,9446024.0
Ukraine,1970,47086758.0
United Arab Emirates,1970,235434.0
United Kingdom,1970,55611401.0
United States,1970,209485807.0
Uruguay,1970,2809799.0
USSR,1970,242539116.0
Uzbekistan,1970,11972994.0
Wallis et Futuna,1970,8840.0
Vanuatu,1970,85388.0
Venezuela,1970,11587758.0
West Bank and Gaza,1970,1124843.0
West Germany,1970,60263372.0
Western Sahara,1970,76875.0
Vietnam,1970,43407291.0
Virgin Islands (U.S.),1970,64070.0
North Yemen (former),1970,4897592.0
South Yemen (former),1970,1518665.0
Yemen,1970,6156234.0
Yugoslavia,1970,19853091.0
Zambia,1970,4185378.0
Zimbabwe,1970,5206311.0
Åland,1970,20744.0
South Sudan,1970,3647097.0
Curaçao,1970,143635.0
Sint Maarten (Dutch part),1970,6862.0
St. Martin (French part),1970,
Antarctica,1970,
Bouvet Island,1970,
British Indian Ocean Territory,1970,
Clipperton,1970,
French Southern and Antarctic Lands,1970,
Gaza Strip,1970,
Heard and McDonald Islands,1970,
Northern Marianas,1970,
South Georgia and the South Sandwich Islands,1970,
US Minor Outlying Islands,1970,
Virgin Islands,1970,
West Bank,1970,
Abkhazia,1971,
Afghanistan,1971,11412821.0
Akrotiri and Dhekelia,1971,12359.0
Albania,1971,2202040.0
Algeria,1971,14960111.0
American Samoa,1971,27916.0
Andorra,1971,25560.0
Angola,1971,6437645.0
Anguilla,1971,6454.0
Antigua and Barbuda,1971,66338.0
Argentina,1971,24366442.0
Armenia,1971,2580894.0
Aruba,1971,59438.0
Australia,1971,13150591.0
Austria,1971,7543451.0
Azerbaijan,1971,5287272.0
Bahamas,1971,173867.0
Bahrain,1971,220808.0
Bangladesh,1971,66417450.0
Barbados,1971,240038.0
Belarus,1971,9113278.0
Belgium,1971,9692900.0
Belize,1971,124792.0
Benin,1971,2971941.0
Bermuda,1971,52857.0
Bhutan,1971,301653.0
Bolivia,1971,4600596.0
Bosnia and Herzegovina,1971,3790948.0
Botswana,1971,715811.0
Brazil,1971,98402200.0
British Virgin Islands,1971,9969.0
Brunei,1971,135716.0
Bulgaria,1971,8546810.0
Burkina Faso,1971,5723379.0
Burundi,1971,3507593.0
Cambodia,1971,7167716.0
Cameroon,1971,6948847.0
Canada,1971,21790338.0
Cape Verde,1971,273053.0
Cayman Islands,1971,9583.0
Central African Republic,1971,1864757.0
Chad,1971,3727382.0
Channel Islands,1971,122413.0
Chile,1971,9741579.0
China,1971,829367784.0
Christmas Island,1971,1103.0
Cocos Island,1971,430.0
Colombia,1971,22611988.0
Comoros,1971,233125.0
"Congo, Dem. Rep.",1971,20563111.0
"Congo, Rep.",1971,1376189.0
Cook Is,1971,21507.0
Costa Rica,1971,1898366.0
Cote d'Ivoire,1971,5487594.0
Croatia,1971,4438818.0
Cuba,1971,8869961.0
Cyprus,1971,620860.0
Czech Republic,1971,9840280.0
Czechoslovakia,1971,14385355.0
Denmark,1971,4960476.0
Djibouti,1971,169370.0
Dominica,1971,71566.0
Dominican Republic,1971,4631114.0
East Germany,1971,17015344.0
Ecuador,1971,6248831.0
Egypt,1971,35561087.0
El Salvador,1971,3765252.0
Equatorial Guinea,1971,284915.0
Eritrea,1971,1854395.0
Eritrea and Ethiopia,1971,32322507.0
Estonia,1971,1373336.0
Ethiopia,1971,29246170.0
Faeroe Islands,1971,38983.0
Falkland Is (Malvinas),1971,1975.0
Fiji,1971,531601.0
Finland,1971,4623389.0
France,1971,51273975.0
French Guiana,1971,49624.0
French Polynesia,1971,114311.0
Gabon,1971,601734.0
Gambia,1971,460193.0
Georgia,1971,4749544.0
Germany,1971,78584779.0
Ghana,1971,8827273.0
Gibraltar,1971,24844.0
Greece,1971,8819206.0
Greenland,1971,47190.0
Grenada,1971,94180.0
Guadeloupe,1971,321848.0
Guam,1971,85728.0
Guatemala,1971,5577824.0
Guernsey,1971,53621.0
Guinea,1971,4259102.0
Guinea-Bissau,1971,724863.0
Guyana,1971,703811.0
Haiti,1971,4793157.0
Holy See,1971,644.0
Honduras,1971,2766444.0
"Hong Kong, China",1971,4005761.0
Hungary,1971,10381705.0
Iceland,1971,207050.0
India,1971,566605402.0
Indonesia,1971,117921994.0
Iran,1971,29281130.0
Iraq,1971,10255904.0
Ireland,1971,2984044.0
Isle of Man,1971,57711.0
Israel,1971,2936668.0
Italy,1971,53891946.0
Jamaica,1971,1900243.0
Japan,1971,105142875.0
Jersey,1971,69586.0
Jordan,1971,1739903.0
Kazakhstan,1971,13325342.0
Kenya,1971,11657479.0
Kiribati,1971,52020.0
North Korea,1971,14812363.0
South Korea,1971,32087884.0
United Korea (former),1971,47228907.0
Kosovo,1971,1472543.0
Kuwait,1971,807900.0
Kyrgyz Republic,1971,3035474.0
Lao,1971,2759634.0
Latvia,1971,2385561.0
Lebanon,1971,2353569.0
Lesotho,1971,1053524.0
Liberia,1971,1457714.0
Libya,1971,2208125.0
Liechtenstein,1971,21726.0
Lithuania,1971,3170887.0
Luxembourg,1971,342224.0
"Macao, China",1971,253881.0
"Macedonia, FYR",1971,1739525.0
Madagascar,1971,6760352.0
Malawi,1971,4728693.0
Malaysia,1971,11182078.0
Maldives,1971,119315.0
Mali,1971,6044532.0
Malta,1971,304546.0
Marshall Islands,1971,21310.0
Martinique,1971,326338.0
Mauritania,1971,1182945.0
Mauritius,1971,839600.0
Mayotte,1971,38516.0
Mexico,1971,53719547.0
"Micronesia, Fed. Sts.",1971,62107.0
Moldova,1971,3645515.0
Monaco,1971,23722.0
Mongolia,1971,1317049.0
Montenegro,1971,522783.0
Montserrat,1971,11633.0
Morocco,1971,16389949.0
Mozambique,1971,9468836.0
Myanmar,1971,27836648.0
Namibia,1971,804309.0
Nauru,1971,6619.0
Nepal,1971,12232454.0
Netherlands,1971,13104216.0
Netherlands Antilles,1971,160894.0
New Caledonia,1971,109269.0
New Zealand,1971,2871810.0
Ngorno-Karabakh,1971,
Nicaragua,1971,2472656.0
Niger,1971,4623121.0
Nigeria,1971,57453734.0
Niue,1971,4962.0
Norfolk Island,1971,1796.0
Northern Cyprus,1971,
Northern Mariana Islands,1971,13658.0
Norway,1971,3904750.0
Oman,1971,748971.0
Pakistan,1971,59690467.0
Palau,1971,11656.0
Panama,1971,1563113.0
Papua New Guinea,1971,2503074.0
Paraguay,1971,2535355.0
Peru,1971,13704333.0
Philippines,1971,36851055.0
Pitcairn,1971,85.0
Poland,1971,33068997.0
Portugal,1971,8717871.0
Puerto Rico,1971,2745952.0
Qatar,1971,119246.0
Reunion,1971,470120.0
Romania,1971,20783864.0
Russia,1971,130808492.0
Rwanda,1971,3868345.0
St. Barthélemy,1971,2430.0
St. Helena,1971,4950.0
St. Kitts and Nevis,1971,44490.0
St. Lucia,1971,105389.0
St. Martin,1971,21034.0
St. Vincent and the Grenadines,1971,91440.0
St.-Pierre-et-Miquelon,1971,5548.0
Samoa,1971,145437.0
San Marino,1971,19299.0
Sao Tome and Principe,1971,75989.0
Saudi Arabia,1971,6096106.0
Senegal,1971,4348499.0
Serbia,1971,8187994.0
Serbia and Montenegro,1971,8759390.0
Serbia excluding Kosovo,1971,6960733.0
Seychelles,1971,53706.0
Sierra Leone,1971,2558395.0
Singapore,1971,2112873.0
Slovak Republic,1971,4568274.0
Slovenia,1971,1681426.0
Solomon Islands,1971,166214.0
Somalia,1971,3477568.0
Somaliland,1971,
South Africa,1971,23106806.0
South Ossetia,1971,
Spain,1971,34305591.0
Sri Lanka,1971,12749209.0
Sudan,1971,10568788.0
Suriname,1971,372619.0
Svalbard,1971,2315.0
Swaziland,1971,458717.0
Sweden,1971,8090044.0
Switzerland,1971,6221634.0
Syria,1971,6599366.0
Taiwan,1971,14914000.0
Tajikistan,1971,3013956.0
Tanzania,1971,14045757.0
Thailand,1971,37964925.0
Timor-Leste,1971,618508.0
Togo,1971,2185661.0
Tokelau,1971,1587.0
Tonga,1971,85520.0
Transnistria,1971,
Trinidad and Tobago,1971,956364.0
Tunisia,1971,5172692.0
Turkey,1971,35608079.0
Turkmenistan,1971,2252386.0
Turks and Caicos Islands,1971,5750.0
Tuvalu,1971,7379.0
Uganda,1971,9720365.0
Ukraine,1971,47433807.0
United Arab Emirates,1971,275160.0
United Kingdom,1971,55785325.0
United States,1971,211357912.0
Uruguay,1971,2818269.0
USSR,1971,244902647.0
Uzbekistan,1971,12361237.0
Wallis et Futuna,1971,8792.0
Vanuatu,1971,88023.0
Venezuela,1971,11937803.0
West Bank and Gaza,1971,1144297.0
West Germany,1971,60829515.0
Western Sahara,1971,76373.0
Vietnam,1971,44485910.0
Virgin Islands (U.S.),1971,68102.0
North Yemen (former),1971,4966956.0
South Yemen (former),1971,1543986.0
Yemen,1971,6262934.0
Yugoslavia,1971,20017270.0
Zambia,1971,4331002.0
Zimbabwe,1971,5385342.0
Åland,1971,20869.0
South Sudan,1971,3733547.0
Curaçao,1971,145449.0
Sint Maarten (Dutch part),1971,7373.0
St. Martin (French part),1971,
Antarctica,1971,
Bouvet Island,1971,
British Indian Ocean Territory,1971,
Clipperton,1971,
French Southern and Antarctic Lands,1971,
Gaza Strip,1971,
Heard and McDonald Islands,1971,
Northern Marianas,1971,
South Georgia and the South Sandwich Islands,1971,
US Minor Outlying Islands,1971,
Virgin Islands,1971,
West Bank,1971,
Abkhazia,1972,
Afghanistan,1972,11716896.0
Akrotiri and Dhekelia,1972,12447.0
Albania,1972,2253842.0
Algeria,1972,15377095.0
American Samoa,1972,28490.0
Andorra,1972,26892.0
Angola,1972,6587647.0
Anguilla,1972,6506.0
Antigua and Barbuda,1972,67205.0
Argentina,1972,24782950.0
Armenia,1972,2643464.0
Aruba,1972,59849.0
Australia,1972,13364238.0
Austria,1972,7573660.0
Azerbaijan,1972,5393176.0
Bahamas,1972,177844.0
Bahrain,1972,229588.0
Bangladesh,1972,67578486.0
Barbados,1972,241441.0
Belarus,1972,9181643.0
Belgium,1972,9715673.0
Belize,1972,127148.0
Benin,1972,3039300.0
Bermuda,1972,53426.0
Bhutan,1972,312712.0
Bolivia,1972,4698090.0
Bosnia and Herzegovina,1972,3838002.0
Botswana,1972,739754.0
Brazil,1972,100844391.0
British Virgin Islands,1972,10125.0
Brunei,1972,141836.0
Bulgaria,1972,8596962.0
Burkina Faso,1972,5825171.0
Burundi,1972,3547335.0
Cambodia,1972,7331162.0
Cameroon,1972,7134374.0
Canada,1972,22141998.0
Cape Verde,1972,273788.0
Cayman Islands,1972,10137.0
Central African Republic,1972,1900702.0
Chad,1972,3816299.0
Channel Islands,1972,123611.0
Chile,1972,9916558.0
China,1972,849787991.0
Christmas Island,1972,1134.0
Cocos Island,1972,436.0
Colombia,1972,23146803.0
Comoros,1972,237797.0
"Congo, Dem. Rep.",1972,21120996.0
"Congo, Rep.",1972,1419305.0
Cook Is,1972,21422.0
Costa Rica,1972,1947048.0
Cote d'Ivoire,1972,5747633.0
Croatia,1972,4453985.0
Cuba,1972,9025299.0
Cyprus,1972,628000.0
Czech Republic,1972,9882993.0
Czechoslovakia,1972,14462080.0
Denmark,1972,4989146.0
Djibouti,1972,179212.0
Dominica,1972,71737.0
Dominican Republic,1972,4759935.0
East Germany,1972,16952595.0
Ecuador,1972,6428707.0
Egypt,1972,36302154.0
El Salvador,1972,3862132.0
Equatorial Guinea,1972,274906.0
Eritrea,1972,1905406.0
Eritrea and Ethiopia,1972,33041524.0
Estonia,1972,1386099.0
Ethiopia,1972,30135007.0
Faeroe Islands,1972,39360.0
Falkland Is (Malvinas),1972,1960.0
Fiji,1972,542811.0
Finland,1972,4644847.0
France,1972,51741044.0
French Guiana,1972,51266.0
French Polynesia,1972,118279.0
Gabon,1972,613129.0
Gambia,1972,474538.0
Georgia,1972,4791480.0
Germany,1972,78700104.0
Ghana,1972,9083575.0
Gibraltar,1972,24991.0
Greece,1972,8856097.0
Greenland,1972,48073.0
Grenada,1972,93937.0
Guadeloupe,1972,323947.0
Guam,1972,87585.0
Guatemala,1972,5737720.0
Guernsey,1972,53801.0
Guinea,1972,4293208.0
Guinea-Bissau,1972,738117.0
Guyana,1972,712188.0
Haiti,1972,4876558.0
Holy See,1972,660.0
Honduras,1972,2845260.0
"Hong Kong, China",1972,4068406.0
Hungary,1972,10417419.0
Iceland,1972,209868.0
India,1972,579800632.0
Indonesia,1972,121059511.0
Iran,1972,30073845.0
Iraq,1972,10599846.0
Ireland,1972,3027538.0
Isle of Man,1972,58563.0
Israel,1972,3033919.0
Italy,1972,54262086.0
Jamaica,1972,1929556.0
Japan,1972,106616535.0
Jersey,1972,70248.0
Jordan,1972,1811870.0
Kazakhstan,1972,13540301.0
Kenya,1972,12083165.0
Kiribati,1972,52823.0
North Korea,1972,15214615.0
South Korea,1972,32759447.0
United Korea (former),1972,48255896.0
Kosovo,1972,1485469.0
Kuwait,1972,866747.0
Kyrgyz Republic,1972,3103694.0
Lao,1972,2837967.0
Latvia,1972,2405212.0
Lebanon,1972,2416743.0
Lesotho,1972,1075281.0
Liberia,1972,1497356.0
Libya,1972,2306668.0
Liechtenstein,1972,22153.0
Lithuania,1972,3204466.0
Luxembourg,1972,345108.0
"Macao, China",1972,254282.0
"Macedonia, FYR",1972,1754954.0
Madagascar,1972,6952383.0
Malawi,1972,4859569.0
Malaysia,1972,11460080.0
Maldives,1972,123372.0
Mali,1972,6147459.0
Malta,1972,304850.0
Marshall Islands,1972,22340.0
Martinique,1972,327304.0
Mauritania,1972,1217912.0
Mauritius,1972,852397.0
Mayotte,1972,40195.0
Mexico,1972,55480125.0
"Micronesia, Fed. Sts.",1972,62298.0
Moldova,1972,3697153.0
Monaco,1972,24052.0
Mongolia,1972,1356669.0
Montenegro,1972,529209.0
Montserrat,1972,11655.0
Morocco,1972,16740525.0
Mozambique,1972,9679753.0
Myanmar,1972,28517289.0
Namibia,1972,829806.0
Nauru,1972,6743.0
Nepal,1972,12487785.0
Netherlands,1972,13239283.0
Netherlands Antilles,1972,162432.0
New Caledonia,1972,114093.0
New Zealand,1972,2930469.0
Ngorno-Karabakh,1972,
Nicaragua,1972,2549779.0
Niger,1972,4753054.0
Nigeria,1972,58829319.0
Niue,1972,4727.0
Norfolk Island,1972,1801.0
Northern Cyprus,1972,
Northern Mariana Islands,1972,14142.0
Norway,1972,3932945.0
Oman,1972,776379.0
Pakistan,1972,61341255.0
Palau,1972,11853.0
Panama,1972,1607835.0
Papua New Guinea,1972,2576093.0
Paraguay,1972,2596741.0
Peru,1972,14072476.0
Philippines,1972,37925400.0
Pitcairn,1972,81.0
Poland,1972,33328713.0
Portugal,1972,8806016.0
Puerto Rico,1972,2787351.0
Qatar,1972,130377.0
Reunion,1972,475472.0
Romania,1972,21011826.0
Russia,1972,131517584.0
Rwanda,1972,3983707.0
St. Barthélemy,1972,2450.0
St. Helena,1972,5014.0
St. Kitts and Nevis,1972,44328.0
St. Lucia,1972,106458.0
St. Martin,1972,21224.0
St. Vincent and the Grenadines,1972,92465.0
St.-Pierre-et-Miquelon,1972,5644.0
Samoa,1972,147323.0
San Marino,1972,19396.0
Sao Tome and Principe,1972,77536.0
Saudi Arabia,1972,6382106.0
Senegal,1972,4485342.0
Serbia,1972,8260626.0
Serbia and Montenegro,1972,8838371.0
Serbia excluding Kosovo,1972,7021834.0
Seychelles,1972,55128.0
Sierra Leone,1972,2605837.0
Singapore,1972,2152603.0
Slovak Republic,1972,4608266.0
Slovenia,1972,1694979.0
Solomon Islands,1972,172599.0
Somalia,1972,3490295.0
Somaliland,1972,
South Africa,1972,23736489.0
South Ossetia,1972,
Spain,1972,34701025.0
Sri Lanka,1972,13003394.0
Sudan,1972,10918137.0
Suriname,1972,371318.0
Svalbard,1972,2367.0
Swaziland,1972,472337.0
Sweden,1972,8121560.0
Switzerland,1972,6270112.0
Syria,1972,6828765.0
Taiwan,1972,15223333.0
Tajikistan,1972,3112041.0
Tanzania,1972,14506496.0
Thailand,1972,39061999.0
Timor-Leste,1972,636100.0
Togo,1972,2247575.0
Tokelau,1972,1574.0
